out of_PRP,4710
In spite of_PRP,103
According to_PRP,550
along with_PRP,464
under way_AV0,121
nearer to_PRP,26
Near to_PRP,2
a little_AV0,929
A little_AV0,35
in order_AV0,895
with a view to_PRP,46
in pursuit of_PRP,40
away from_PRP,1071
as though_CJS,431
at once_AV0,287
As for_PRP,196
and so on_AV0,296
inside out_AV0,16
at last_AV0,311
one another_PNX,307
except that_CJS,84
according to_PRP,1130
no longer_AV0,979
as to_PRP,370
in part_AV0,157
in search of_PRP,126
in spite of_PRP,196
As to_PRP,28
as it were_AV0,76
as well as_PRP,1546
by means of_PRP,103
because of_PRP,1655
in common with_PRP,49
less than_AV0,399
at least_AV0,2291
at first_AV0,263
in place of_PRP,77
now that_CJS,161
in addition to_PRP,127
as yet_AV0,110
No one_PNI,331
in connection with_PRP,84
up to_PRP,1243
Apart from_PRP,263
from time to time_AV0,111
a great deal_AV0,133
well off_AJ0,16
each other_PNX,951
from now on_AV0,21
Except for_PRP,20
so much as_AV0,61
so that_CJS,1433
as soon as_CJS,258
no one_PNI,632
as well_AV0,563
no doubt_AV0,307
once again_AV0,263
as if_CJS,1244
In Pursuit of_PRP,3
on to_PRP,813
at all_AV0,1167
rather than_PRP,1670
whether or not_CJS,130
instead of_PRP,536
in vain_AV0,58
in common_AV0,106
in public_AV0,107
of course_AV0,1435
Even if_CJS,191
By now_AV0,61
As yet_AV0,13
matter of fact_AJ0,11
for ever_AV0,149
for example_AV0,1192
at random_AV0,30
So that_CJS,18
Once again_AV0,90
viva voce_AJ0,2
a good deal_AV0,59
but for_PRP,69
due to_PRP,506
as for_PRP,71
At last_AV0,73
in general_AV0,196
in particular_AV0,396
save for_PRP,20
in full_AV0,59
such as_PRP,3116
considering that_CJS,12
for instance_AV0,522
that is_AV0,311
once more_AV0,206
except for_PRP,180
other than_PRP,321
even though_CJS,509
by no means_AV0,142
Of course_AV0,579
The_AT0,62218
Heritage_NN1,72
THE_AT0,2376
woods_NN2,166
seem_VVB,805
but_CJC,29873
just_AV0,8358
freed_VVN,89
from_PRP,41630
the_AT0,525421
horror_NN1,229
of_PRF,285402
primeval_AJ0,15
sea_NN1,1059
if_CJS,13003
that_DT0,25972
is_VBZ,91154
not_XX0,41535
washing_VVG,95
their_DPS,26416
bases_NN2,132
Capella_NN1,1
Capella_NP0,2
hangs_VVZ,70
low_AJ0,1439
low_AV0,249
pale_AJ0,290
large_AJ0,3135
moist_AJ0,75
and_CJC,234299
trembling_VVG,53
almost_AV0,3323
engulfed_VVD,12
engulfed_VVN,14
between_PRP,7909
two_CRD,11429
horn_NN1,57
wood_NN1,577
upon_PRP,1983
headland_NN1,25
frailest_AJS,1
beacon_NN1,21
hope_NN1,726
still_AV0,6789
fluttering_VVG,13
fluttering_AJ0,9
storm_NN1,196
out_AVP,17494
which_DTQ,33931
land_NN1,1685
emerging_VVG,117
emerging_AJ0,95
Then_AV0,1956
or_CJC,29836
at_PRP,45904
home_NN1,2782
looking_VVG,1941
a_AT0,198465
map_NN1,208
Britain_NP0,4826
West_NN1,1121
calls_VVZ,435
calls_NN2,433
Wiltshire_NP0,65
Cornwall_NP0,158
Devon_NP0,199
beyond_AV0,107
Monmouth_NP0,11
Glamorgan_NP0,57
Gower_NP0,77
Caermarthen_NP0,1
with_PRP,61930
voice_NN1,1176
dead_AJ0,1161
Townsends_NP0,1
Eastaways_NP0,1
Thomases_NP0,2
Phillipses_NP0,1
Treharnes_NP0,1
Marendaz_NP0,2
men_NN2,3432
mountain_NN1,362
Westward_AV0,4
for_PRP,78770
this_DT0,27235
island_NN1,516
lies_VVZ,496
westward_AV0,24
are_VBB,41466
great_AJ0,4238
hills_NN2,244
In_PRP,14672
mere_AJ0,438
west_NN1,468
fascinating_AJ0,193
features_NN2,507
make_VVB,1457
it_PNP,61128
something_PNI,3624
more_DT0,6402
than_CJS,15768
picture_NN1,897
to_TO0,147664
be_VBI,54642
imperfectly_AV0,19
copied_VVN,52
by_PRP,48413
laborious_AJ0,26
childish_AJ0,36
pens_NN2,35
promontories_NN2,3
Caernarvon_NP0,3
Pembroke_NP0,29
jutting_VVG,12
into_PRP,15673
western_AJ0,445
like_PRP,9395
grim_AJ0,93
face_NN1,2125
such_DT0,9031
as_CJS,32694
carved_VVN,54
on_PRP,56485
ship_NN1,229
's_POS,55489
prow_NN1,4
To_PRP,766
eyes_NN2,1750
child_NN1,1670
they_PNP,27694
stand_VVB,379
adventure_NN1,126
They_PNP,7723
lean_AJ0,69
worn_VVN,165
worn_AJ0,39
scarred_VVN,22
strife_NN1,46
watching_VVG,536
gradually_AV0,325
mind_NN1,1900
comes_VVZ,1450
story_NN1,1464
that_CJT,71415
justifies_VVZ,17
more_AV0,14509
inspires_VVZ,21
seems_VVZ,2164
explain_VVI,482
those_DT0,7121
westward-pointing_AJ0,1
For_CJS,310
towards_PRP,2491
them_PNP,14417
continually_AV0,127
have_VHB,23358
conquered_AJ0,11
races_NN2,260
world_NN1,5748
retreated_VVD,40
settlements_NN2,86
give_VVB,813
corners_NN2,165
strangeness_NN1,13
charm_NN1,144
to_PRP,92954
our_DPS,7618
fantastic_AJ0,130
sympathies_NN2,41
Out_AVP,218
conquerors_NN2,11
in_PRP,168017
turn_NN1,770
gone_VVN,1617
found_VVI,14
legend_NN1,122
Welsh_AJ0,505
Madoc_NP0,1
Madoc_NN1,1
an_AT0,31282
empire_NN1,257
blood_NN1,822
conqueror_NN1,16
veins_NN2,50
flushes_VVZ,5
cheek_NN1,98
sight_NN1,639
thought_NN1,846
Each_DT0,454
man_NN1,5148
us_PNP,5366
as_AV0,5299
ancient_AJ0,550
complicated_AJ0,268
lofty-spired_AJ0,1
deep-vaulted_AJ0,1
cathedrals_NN2,32
castles_NN2,48
old_AJ0,4620
lands_NN2,107
crypts_NN2,2
dark_AJ0,894
foundations_NN2,133
dimly_AV0,21
remembered_VVN,194
Edward_NP0,545
Thomas_NP0,685
wrote_VVD,1141
these_DT0,7539
words_NN2,1659
1908_CRD,80
period_NN1,1930
comparative_AJ0,62
ease_NN1,188
tranquillity_NN1,32
when_CJS,12588
when_AVQ,7094
he_PNP,44155
had_VHD,37839
about_PRP,13088
South_NN1,946
Country_NN1,313
twenty_CRD,418
years_NN2,9643
foot_NN1,612
especially_AV0,1741
Kent_NP0,337
Maidstone_NP0,21
Ashford_NP0,25
round_PRP,1091
Penshurst_NP0,4
Surrey_NP0,234
London_NP0,4590
Guildford_NP0,51
Horley_NP0,3
Hampshire_NP0,155
Petersfield_NP0,5
Wootton_NP0,15
Bassett_NP0,31
Swindon_NP0,130
Savernake_NP0,2
Savernake_NN1,3
people_NN0,11358
foreign_AJ0,1234
me_PNP,9185
so_AV0,13839
because_CJS,7989
country_NN1,3675
yet_AV0,2651
been_VBN,23980
thrown_VVN,329
quite_AV0,2650
same_DT0,5361
confusion_NN1,255
townspeople_NN0,6
therefore_AV0,1369
look_VVB,1231
awkwardly_AV0,41
who_PNQ,21436
trade_NN1,1596
writing_NN1,547
writing_VVG,616
unskilled_AJ0,24
labour_NN1,516
idle_AJ0,64
Yet_AV0,1329
though_CJS,3535
I_PNP,49458
am_VBB,2143
mainly_AV0,700
kind_NN1,1974
think_VVB,2369
any_DT0,8736
other_NN1,2173
modern_AJ0,1463
belong_VVB,125
nowhere_AV0,220
These_DT0,2167
counties_NN2,147
A_AT0,9564
can_VM0,17779
hide_VVI,150
away_AV0,4374
hospitable_AJ0,10
This_DT0,9698
concern_NN1,849
his_DPS,40681
own_DT0,6904
roots_NN2,340
was_VBD,82440
frequent_AJ0,255
preoccupation_NN1,53
spite_NN1,318
touches_NN2,48
mystification_NN1,10
employed_VVD,133
in_AVP,13694
many_DT0,8035
autobiographical_AJ0,17
references_NN2,168
scattered_VVN,102
through_PRP,6846
publishing_NN1,196
publishing_VVG,148
possible_AJ0,2709
detect_VVI,65
temperament_NN1,90
inherited_VVN,103
But_CJC,13273
only_AV0,11617
one_CRD,16217
side_NN1,2900
verse_NN1,147
prose_NN1,117
hell-bent_AJ0,5
facing_VVG,411
himself_PNX,3326
things_NN2,3616
were_VBD,29281
joint_NN1,74
scalpel-probe_NN1,1
counterbalanced_VVN,8
unlearned_AJ0,4
incurious_AJ0,3
manner_NN1,486
found_VVD,2431
deepest_AJS,51
ease_VVB,40
joy_NN1,286
doors_NN2,499
way_NN1,8761
healing_NN1,57
discovered_VVN,301
early_AV0,916
life_NN1,5528
although_CJS,2464
did_VDD,9731
